statement,label
It is the case either that the Spanish word 'aceite' means 'oil' or that the Spanish word 'aceite' means 'class'.,1
It is the case either that the Spanish word 'sistema' means 'nature' or that the Spanish word 'sistema' means 'night'.,0
It is the case either that the Spanish word 'caballo' means 'horse' or that the Spanish word 'caballo' means 'shoulder'.,1
It is the case either that the Spanish word 'estudiante' means 'student' or that the Spanish word 'estudiante' means 'summer'.,1
It is the case either that the Spanish word 'derecho' means 'summer' or that the Spanish word 'derecho' means swim'.,0
It is the case either that the Spanish word 'belleza' means 'beauty' or that the Spanish word 'belleza' means throw'.,1
It is the case either that the Spanish word 'piedra' means 'stone' or that the Spanish word 'piedra' means 'before'.,1
It is the case either that the Spanish word 'barco' means 'hello' or that the Spanish word 'barco' means 'seed'.,0
It is the case either that the Spanish word 'edad' means 'clock' or that the Spanish word 'edad' means read'.,0
It is the case either that the Spanish word 'lobo' means 'story' or that the Spanish word 'lobo' means 'leg'.,0
It is the case either that the Spanish word 'tigre' means imagine' or that the Spanish word 'tigre' means 'cow'.,0
It is the case either that the Spanish word 'derecho' means 'donkey' or that the Spanish word 'derecho' means 'summer'.,0
It is the case either that the Spanish word 'tierra' means 'land' or that the Spanish word 'tierra' means 'skin'.,1
It is the case either that the Spanish word 'sol' means 'land' or that the Spanish word 'sol' means 'sun'.,1
It is the case either that the Spanish word 'pan' means 'horse' or that the Spanish word 'pan' means 'eye'.,0
It is the case either that the Spanish word 'frase' means 'paper' or that the Spanish word 'frase' means 'hot'.,0
It is the case either that the Spanish word 'nariz' means eat' or that the Spanish word 'nariz' means 'giraffe'.,0
It is the case either that the Spanish word 'leche' means 'clock' or that the Spanish word 'leche' means 'glass'.,0
It is the case either that the Spanish word 'toro' means 'giraffe' or that the Spanish word 'toro' means 'bull'.,1
It is the case either that the Spanish word 'continuar' means 'end' or that the Spanish word 'continuar' means 'coat'.,0
It is the case either that the Spanish word 'historia' means 'office' or that the Spanish word 'historia' means 'corner'.,0
It is the case either that the Spanish word 'igual' means 'to 'nothing' or that the Spanish word 'igual' means imagine'.,0
It is the case either that the Spanish word 'parecer' means 'to walk' or that the Spanish word 'parecer' means seem'.,1
It is the case either that the Spanish word 'esperanza' means 'hope' or that the Spanish word 'esperanza' means 'name'.,1
It is the case either that the Spanish word 'caer' means 'to fall' or that the Spanish word 'caer' means 'thing'.,1
It is the case either that the Spanish word 'decir' means 'order' or that the Spanish word 'decir' means 'tool'.,0
It is the case either that the Spanish word 'morir' means 'to die' or that the Spanish word 'morir' means 'three'.,1
It is the case either that the Spanish word 'piso' means 'pig' or that the Spanish word 'piso' means 'set'.,0
It is the case either that the Spanish word 'gato' means 'large' or that the Spanish word 'gato' means 'bear'.,0
It is the case either that the Spanish word 'dientes' means 'whale' or that the Spanish word 'dientes' means 'hope'.,0
It is the case either that the Spanish word 'reloj' means 'fire' or that the Spanish word 'reloj' means 'clock'.,1
It is the case either that the Spanish word 'tener' means 'to 'smile' or that the Spanish word 'tener' means have'.,1
It is the case either that the Spanish word 'lado' means 'enemy' or that the Spanish word 'lado' means 'equal'.,0
