statement,label
It is the case either that the inventor Wilhelm Conrad Röntgen lived in the U.S or that the inventor Wilhelm Conrad Röntgen lived in Russia.,0
It is the case either that the inventor Cai Lun lived in Russia or that the inventor Cai Lun lived in China.,1
It is the case either that the inventor Edwin Herbert Hall lived in the U.S or that the inventor Edwin Herbert Hall lived in the U.K.,1
It is the case either that the inventor Tim Berners-Lee lived in Germany or that the inventor Tim Berners-Lee lived in the U.S.,0
It is the case either that the inventor Herbert Akroyd Stuart lived in the U.S or that the inventor Herbert Akroyd Stuart lived in England.,1
It is the case either that the inventor Philo Taylor Farnsworth lived in France or that the inventor Philo Taylor Farnsworth lived in the U.S.,1
It is the case either that the inventor Eli Whitney lived in the U.S or that the inventor Eli Whitney lived in Canada.,1
It is the case either that the inventor Samuel Morse lived in Germany or that the inventor Samuel Morse lived in Russia.,0
It is the case either that the inventor Chester Carlson lived in the U.K or that the inventor Chester Carlson lived in Switzerland.,0
It is the case either that the inventor John Kay lived in the U.S or that the inventor John Kay lived in Russia.,0
It is the case either that the inventor Edwin Link lived in France or that the inventor Edwin Link lived in the U.K.,0
It is the case either that the inventor Yoshiro Nakamatsu lived in Sweden/the U.S or that the inventor Yoshiro Nakamatsu lived in Japan.,1
It is the case either that the inventor Joseph Henry lived in Austria or that the inventor Joseph Henry lived in the U.S.,1
It is the case either that the inventor Sir Sandford Fleming lived in Canada or that the inventor Sir Sandford Fleming lived in the U.S.,1
It is the case either that the inventor Henri Giffard lived in the Netherlands or that the inventor Henri Giffard lived in the U.S.,0
It is the case either that the inventor Ralph H. Baer lived in the U.K or that the inventor Ralph H. Baer lived in the U.S.,1
It is the case either that the inventor Henry Bessemer lived in the Netherlands or that the inventor Henry Bessemer lived in the U.S.,0
It is the case either that the inventor Charles Francis Jenkins lived in Turkey/the U.S or that the inventor Charles Francis Jenkins lived in the U.S.,1
It is the case either that the inventor Florence Parpart lived in Russia or that the inventor Florence Parpart lived in the U.K.,0
It is the case either that the inventor David Schwarz lived in Croatia or that the inventor David Schwarz lived in the U.S.,1
It is the case either that the inventor Godfrey Hounsfield lived in Canada or that the inventor Godfrey Hounsfield lived in Denmark.,0
It is the case either that the inventor Orville and Wilbur Wright lived in France or that the inventor Orville and Wilbur Wright lived in Scotland.,0
It is the case either that the inventor Edwin H. Land lived in the U.S or that the inventor Edwin H. Land lived in Sweden.,0
It is the case either that the inventor Igor Sikorsky lived in the U.S or that the inventor Igor Sikorsky lived in Japan.,0
It is the case either that the inventor Leonardo da Vinci lived in Germany or that the inventor Leonardo da Vinci lived in Italy.,1
It is the case either that the inventor Maria Telkes lived in Hungary/the U.S or that the inventor Maria Telkes lived in the U.K.,1
It is the case either that the inventor Spencer Silver lived in the U.S or that the inventor Spencer Silver lived in the Netherlands.,1
It is the case either that the inventor Alec Jeffreys lived in the U.S or that the inventor Alec Jeffreys lived in France.,0
It is the case either that the inventor Frederick Walton lived in Switzerland or that the inventor Frederick Walton lived in the U.K.,1
It is the case either that the inventor Frederick Walton lived in the U.K or that the inventor Frederick Walton lived in Hungary/the U.S.,1
It is the case either that the inventor Joseph Aspdin lived in the U.K or that the inventor Joseph Aspdin lived in Switzerland.,0
It is the case either that the inventor Nicolas Appert lived in France or that the inventor Nicolas Appert lived in the U.S.,1
It is the case either that the inventor Willem Einthoven lived in the U.S or that the inventor Willem Einthoven lived in the Netherlands.,1
It is the case either that the inventor Gottlieb Daimler lived in France or that the inventor Gottlieb Daimler lived in the U.S.,0
It is the case either that the inventor Hedy Lamarr lived in the U.S or that the inventor Hedy Lamarr lived in the U.K.,0
It is the case either that the inventor Sergey Brin and Larry Page lived in France or that the inventor Sergey Brin and Larry Page lived in the U.K.,0
It is the case either that the inventor Richard Trevithick lived in the U.K or that the inventor Richard Trevithick lived in Canada.,1
It is the case either that the inventor Felix Hoffmann lived in the U.S or that the inventor Felix Hoffmann lived in the U.K.,0
It is the case either that the inventor Ernesto Blanco lived in the U.S or that the inventor Ernesto Blanco lived in the U.K.,1
It is the case either that the inventor Thomas Wedgwood lived in the U.K or that the inventor Thomas Wedgwood lived in Italy.,1
It is the case either that the inventor James Hargreaves lived in the U.S or that the inventor James Hargreaves lived in Sweden.,0
It is the case either that the inventor Charles Francis Richter lived in the U.S or that the inventor Charles Francis Richter lived in the U.K.,1
It is the case either that the inventor Walter Hunt lived in the U.S or that the inventor Walter Hunt lived in Italy.,1
It is the case either that the inventor Rudolf Kálmán lived in Ancient Greece or that the inventor Rudolf Kálmán lived in the U.K.,0
It is the case either that the inventor Charles Goodyear lived in the U.K or that the inventor Charles Goodyear lived in the U.S.,1
It is the case either that the inventor Charles Wheatstone lived in the U.S or that the inventor Charles Wheatstone lived in France.,0
It is the case either that the inventor Albert Ghiorso lived in Norway or that the inventor Albert Ghiorso lived in the U.K.,0
It is the case either that the inventor Alfred Nobel lived in Italy or that the inventor Alfred Nobel lived in Sweden.,1
It is the case either that the inventor Willis Carrier lived in the U.S or that the inventor Willis Carrier lived in Scotland.,1
It is the case either that the inventor Gustaf Dalén lived in the U.S or that the inventor Gustaf Dalén lived in Sweden.,1
It is the case either that the inventor Valdemar Poulsen lived in the U.K or that the inventor Valdemar Poulsen lived in Scotland.,0
It is the case either that the inventor Willis Carrier lived in Italy or that the inventor Willis Carrier lived in the U.S.,1
It is the case either that the inventor Fritz Pfleumer lived in the U.K or that the inventor Fritz Pfleumer lived in Germany.,1
It is the case either that the inventor John Ericsson lived in the U.K or that the inventor John Ericsson lived in the U.S.,0
It is the case either that the inventor Sir Humphry Davy lived in the U.K or that the inventor Sir Humphry Davy lived in the U.S.,1
It is the case either that the inventor Whitcomb Judson lived in France or that the inventor Whitcomb Judson lived in the U.S.,1
It is the case either that the inventor August Horch lived in Germany or that the inventor August Horch lived in the U.S.,1
It is the case either that the inventor Hans Berger lived in Germany or that the inventor Hans Berger lived in the U.S.,1
It is the case either that the inventor R. Buckminster Fuller lived in Scotland or that the inventor R. Buckminster Fuller lived in Turkey/the U.S.,0
It is the case either that the inventor Semyon Kirlian lived in Switzerland or that the inventor Semyon Kirlian lived in the U.K.,0
It is the case either that the inventor Christian Huygens lived in the Netherlands or that the inventor Christian Huygens lived in the U.S.,1
It is the case either that the inventor James West lived in the U.S or that the inventor James West lived in France.,1
It is the case either that the inventor Biruté Galdikas lived in France or that the inventor Biruté Galdikas lived in the U.S.,0
It is the case either that the inventor August Horch lived in the Netherlands or that the inventor August Horch lived in Germany.,1
It is the case either that the inventor Clyde Tombaugh lived in the U.S or that the inventor Clyde Tombaugh lived in the U.K.,1
It is the case either that the inventor Marie Curie lived in Hungary or that the inventor Marie Curie lived in the U.S.,0
It is the case either that the inventor Mary Walton lived in France or that the inventor Mary Walton lived in Germany.,0
It is the case either that the inventor Hedy Lamarr lived in the U.S or that the inventor Hedy Lamarr lived in France.,0
It is the case either that the inventor Robert Chesebrough lived in the U.K or that the inventor Robert Chesebrough lived in the U.S.,1
It is the case either that the inventor Grace Hopper lived in France or that the inventor Grace Hopper lived in the U.K.,0
It is the case either that the inventor Joseph Marie Jacquard lived in the Netherlands or that the inventor Joseph Marie Jacquard lived in Turkey/the U.S.,0
It is the case either that the inventor Gottlieb Daimler lived in Canada or that the inventor Gottlieb Daimler lived in Germany.,1
It is the case either that the inventor Sir Humphry Davy lived in the U.S or that the inventor Sir Humphry Davy lived in England.,0
It is the case either that the inventor Ernesto Blanco lived in Canada or that the inventor Ernesto Blanco lived in the U.S.,1
It is the case either that the inventor Galileo Galilei lived in France or that the inventor Galileo Galilei lived in the U.S.,0
It is the case either that the inventor Ruth Handler lived in Canada or that the inventor Ruth Handler lived in the Netherlands.,0
It is the case either that the inventor Mary Anderson lived in Germany or that the inventor Mary Anderson lived in the U.S.,1
It is the case either that the inventor Thomas Wedgwood lived in Finland or that the inventor Thomas Wedgwood lived in the U.S.,0
It is the case either that the inventor James Murray Spangler lived in the U.K or that the inventor James Murray Spangler lived in the U.S.,0
It is the case either that the inventor Hans von Ohain lived in the U.S or that the inventor Hans von Ohain lived in Canada.,0
It is the case either that the inventor Charles Francis Jenkins lived in Germany or that the inventor Charles Francis Jenkins lived in Canada/the U.S.,0
It is the case either that the inventor Ada Lovelace lived in Canada or that the inventor Ada Lovelace lived in the U.S.,0
It is the case either that the inventor Sir Isaac Newton lived in Ancient Greece or that the inventor Sir Isaac Newton lived in the U.S.,0
It is the case either that the inventor Charles Babbage lived in Hungary/the U.S or that the inventor Charles Babbage lived in France.,0
It is the case either that the inventor Charles Cros lived in the U.S or that the inventor Charles Cros lived in the U.K.,0
It is the case either that the inventor Elihu Thomson lived in France or that the inventor Elihu Thomson lived in the U.S.,1
It is the case either that the inventor Joseph Henry lived in France or that the inventor Joseph Henry lived in the U.S.,1
It is the case either that the inventor Leonardo da Vinci lived in Canada or that the inventor Leonardo da Vinci lived in Poland/France.,0
It is the case either that the inventor Leonardo da Vinci lived in Poland/France or that the inventor Leonardo da Vinci lived in Turkey/the U.S.,0
It is the case either that the inventor Benjamin Rubin lived in the U.S or that the inventor Benjamin Rubin lived in Hungary.,1
It is the case either that the inventor Nils Bohlin lived in the U.S or that the inventor Nils Bohlin lived in Germany.,0
It is the case either that the inventor Christopher Cockerell lived in Russia or that the inventor Christopher Cockerell lived in the U.K.,1
It is the case either that the inventor Florence Parpart lived in the U.K or that the inventor Florence Parpart lived in Japan.,0
It is the case either that the inventor James Hargreaves lived in the U.K or that the inventor James Hargreaves lived in the U.S.,1
It is the case either that the inventor Whitcomb Judson lived in Poland/France or that the inventor Whitcomb Judson lived in the U.S.,1
It is the case either that the inventor Mary Phelps Jacob lived in the Netherlands or that the inventor Mary Phelps Jacob lived in Ukraine/the U.S.,0
It is the case either that the inventor Robert Adler lived in the U.K or that the inventor Robert Adler lived in France.,0
It is the case either that the inventor Sir Charles Parsons lived in Croatia or that the inventor Sir Charles Parsons lived in the U.S.,0
It is the case either that the inventor Ami Argand lived in Switzerland or that the inventor Ami Argand lived in the U.S.,1
It is the case either that the inventor Archimedes lived in Ancient Greece or that the inventor Archimedes lived in Japan.,1
It is the case either that the inventor Nikola Tesla lived in the U.S or that the inventor Nikola Tesla lived in Germany.,0
It is the case either that the inventor Joseph Henry lived in the U.K or that the inventor Joseph Henry lived in the U.S.,0
It is the case either that the inventor John Harrison lived in the U.S or that the inventor John Harrison lived in the U.K.,1
It is the case either that the inventor Herbert Saffir lived in the U.K or that the inventor Herbert Saffir lived in Italy.,0
It is the case either that the inventor Gustaf Dalén lived in the U.S or that the inventor Gustaf Dalén lived in Germany.,0
It is the case either that the inventor John Shepherd-Barron lived in the U.S or that the inventor John Shepherd-Barron lived in Germany.,0
It is the case either that the inventor Willis Carrier lived in the U.S or that the inventor Willis Carrier lived in France.,1
It is the case either that the inventor Joseph Henry lived in Sweden or that the inventor Joseph Henry lived in the U.S.,1
It is the case either that the inventor Christopher Cockerell lived in France or that the inventor Christopher Cockerell lived in the U.K.,0
It is the case either that the inventor Frederick Walton lived in Turkey/the U.S or that the inventor Frederick Walton lived in the U.K.,1
It is the case either that the inventor Mary Phelps Jacob lived in Canada or that the inventor Mary Phelps Jacob lived in Ukraine/the U.S.,0
It is the case either that the inventor Wallace Carothers lived in the U.S or that the inventor Wallace Carothers lived in Scotland.,1
It is the case either that the inventor Igor Sikorsky lived in Ukraine/the U.S or that the inventor Igor Sikorsky lived in Finland.,1
It is the case either that the inventor August Horch lived in Russia or that the inventor August Horch lived in Sweden.,0
It is the case either that the inventor Hans Goldschmidt lived in Germany or that the inventor Hans Goldschmidt lived in Turkey/the U.S.,1
It is the case either that the inventor Thomas Wedgwood lived in the U.K or that the inventor Thomas Wedgwood lived in Sweden.,1
It is the case either that the inventor Guglielmo Marconi lived in the U.S or that the inventor Guglielmo Marconi lived in the U.K.,0
It is the case either that the inventor Nicolas Appert lived in France or that the inventor Nicolas Appert lived in Russia.,1
