statement,label
It is the case either that the city of Diyarbakir is in Japan or that the city of Diyarbakir is in Colombia.,0
It is the case either that the city of Warri is in China or that the city of Warri is in Africa.,0
It is the case either that the city of Klang is in India or that the city of Klang is in Malaysia.,1
It is the case either that the city of Turin is in Moldova or that the city of Turin is in Italy.,1
It is the case either that the city of Ebute Ikorodu is in China or that the city of Ebute Ikorodu is in Mexico.,0
It is the case either that the city of Multan is in States or that the city of Multan is in Pakistan.,1
It is the case either that the city of Hiroshima is in Japan or that the city of Hiroshima is in Pakistan.,1
It is the case either that the city of Pimpri is in Japan or that the city of Pimpri is in China.,0
It is the case either that the city of Vijayawada is in India or that the city of Vijayawada is in Indonesia.,1
It is the case either that the city of Onitsha is in China or that the city of Onitsha is in Vietnam.,0
It is the case either that the city of Oklahoma City is in Brazil or that the city of Oklahoma City is in China.,0
It is the case either that the city of Korla is in Azerbaijan or that the city of Korla is in Russia.,0
It is the case either that the city of Ningbo is in South China or that the city of Ningbo is in Korea.,0
It is the case either that the city of Libreville is in Gabon or that the city of Libreville is in Eritrea.,1
It is the case either that the city of Rourkela is in India or that the city of Rourkela is in States.,1
It is the case either that the city of Shiraz is in Cuba or that the city of Shiraz is in Iran.,1
It is the case either that the city of Jiaozhou is in Latvia or that the city of Jiaozhou is in Venezuela.,0
It is the case either that the city of Malacca is in Malaysia or that the city of Malacca is in Vietnam.,1
It is the case either that the city of Duque de Caxias is in China or that the city of Duque de Caxias is in Brazil.,1
It is the case either that the city of Guiyang is in South Korea or that the city of Guiyang is in Turkey.,0
It is the case either that the city of Mukalla is in India or that the city of Mukalla is in Yemen.,1
It is the case either that the city of Bouake is in Côte d'Ivoire or that the city of Bouake is in Turkey.,1
It is the case either that the city of Sanmenxia is in Indonesia or that the city of Sanmenxia is in Brazil.,0
It is the case either that the city of Ajmer is in Russia or that the city of Ajmer is in China.,0
It is the case either that the city of Yibin is in Korea or that the city of Yibin is in China.,1
It is the case either that the city of Jinan is in Rwanda or that the city of Jinan is in Turkey.,0
It is the case either that the city of Comilla is in India or that the city of Comilla is in China.,0
It is the case either that the city of Laibin is in Arabia or that the city of Laibin is in China.,1
It is the case either that the city of Najafgarh is in India or that the city of Najafgarh is in Russia.,1
It is the case either that the city of Erbil is in Cuba or that the city of Erbil is in China.,0
It is the case either that the city of Balikpapan is in Turkey or that the city of Balikpapan is in Indonesia.,1
It is the case either that the city of Wuzhou is in Turkey or that the city of Wuzhou is in Syria.,0
