statement,label
Thermo Fisher Scientific doesn't engage in the manufacture and sale of semiconductor products.,1
"Anheuser-Busch InBev doesn't engage in the exploration, production, refining, marketing and distribution of oil.",1
Meta Platforms doesn't have headquarters in United States.,0
Japan Post Holdings doesn't operate in the industry of Drugs & Biotechnology.,1
"Merck & Co. doesn't engage in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.",0
SK Hynix is an investment company that doesn't engage in the provision of value-added services and online advertising services.,1
"Enel doesn't engage in global investment banking, securities and investment management, which provides financial services.",1
Bank of Montreal doesn't have headquarters in Canada.,0
Morgan Stanley doesn't have headquarters in United States.,0
Cathay Financial doesn't operate in the industry of Chemicals.,1
Generali Group doesn't have headquarters in Switzerland.,1
AT&T doesn't operate in the industry of Trading Companies.,1
Poly Developments & Holdings Group doesn't have headquarters in China.,0
Ping An Insurance (Group) Company of China doesn't engage in the provision of financial products and services.,0
Sumitomo Mitsui Financial doesn't have headquarters in China.,1
Manulife doesn't operate in the industry of insurance.,0
"China Petroleum & Chemical doesn't engage in the exploration, development and production of crude oil and natural gas.",0
National Australia Bank doesn't operate in the industry of banking.,0
PepsiCo doesn't have headquarters in United States.,0
Lloyds Banking Group doesn't operate in the industry of banking.,0
Bayerische Motoren Werke (BMW) doesn't engage in the manufacture and sale of automobiles and motorcycles.,0
"Telefonica doesn't engage in the provision of communication, information and entertainment solutions.",0
BASF doesn't engage in the provision of chemical products.,0
KDDI doesn't operate in the industry of Materials.,1
Lowe's doesn't engage in the provision of telecommunication services.,1
KDDI doesn't have headquarters in India.,1
"Capital One doesn't engage in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",1
"BHP Group doesn't engage in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",0
Charter Communications doesn't operate in the industry of Oil & Gas Operations.,1
Novartis doesn't operate in the industry of Banking.,1
Manulife doesn't have headquarters in Canada.,0
Citigroup doesn't have headquarters in United States.,0
Dow doesn't operate in the industry of chemicals.,0
Telefonica doesn't have headquarters in Spain.,0
BHP Group doesn't have headquarters in Canada.,1
JPMorgan Chase doesn't have headquarters in China.,1
Sberbank doesn't have headquarters in Russia.,0
Honda Motor doesn't operate in the industry of consumer durables.,0
ConocoPhillips doesn't have headquarters in United States.,0
"CITIC doesn't engage in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",1
RBC doesn't operate in the industry of banking.,0
China Citic Bank doesn't operate in the industry of banking.,0
Itau Unibanco Holding doesn't have headquarters in Brazil.,0
VINCI doesn't operate in the industry of construction.,0
Petrobras doesn't have headquarters in Brazil.,0
Morgan Stanley doesn't have headquarters in South Korea.,1
Caterpillar doesn't operate in the industry of Trading Companies.,1
"Anglo American is a mining company, which doesn't engage in the exploration and mining of precious base metals and ferrous metals.",0
"Equinor is an investment holding company that doesn't engage in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.",1
ENGIE doesn't engage in the provision of banking and financial services.,1
Deutsche Post doesn't operate in the industry of Consumer Durables.,1
Brookfield Asset Management doesn't have headquarters in United States.,1
Mercedes-Benz Group doesn't have headquarters in United States.,1
Enel doesn't operate in the industry of electricity & gas.,0
Wells Fargo doesn't operate in the industry of banking.,0
Munich Reinsurance doesn't operate in the industry of insurance.,0
Capital One doesn't have headquarters in India.,1
Telefonica doesn't have headquarters in France.,1
Shanghai Pudong Development Bank doesn't operate in the industry of Banking.,1
