statement,label
It is the case either that the slug is a mollusk or that the slug is a amphibian.,1
It is the case either that the gazelle is a mammal or that the gazelle is a mollusk.,0
It is the case either that the hummingbird is a mollusk or that the hummingbird is a bird.,1
It is the case either that the platypus is a bird or that the platypus is a mammal.,0
It is the case either that the armadillo is a mammal or that the armadillo is a bird.,1
It is the case either that the manta ray is a mammal or that the manta ray is a fish.,0
It is the case either that the rabbit is a insect or that the rabbit is a mammal.,1
It is the case either that the narwhal is a bird or that the narwhal is a mammal.,1
It is the case either that the porcupine is a mammal or that the porcupine is a bird.,0
It is the case either that the horse is a bird or that the horse is a mollusk.,0
It is the case either that the giant anteater is a bird or that the giant anteater is a fish.,0
It is the case either that the jellyfish is a cnidarian or that the jellyfish is a mammal.,1
It is the case either that the eagle is a mammal or that the eagle is a reptile.,0
It is the case either that the armadillo is a mammal or that the armadillo is a bird.,1
It is the case either that the penguin is a fish or that the penguin is a mammal.,0
It is the case either that the bat is a mollusk or that the bat is a mammal.,1
It is the case either that the tapir is a fish or that the tapir is a bird.,0
It is the case either that the crocodile is a reptile or that the crocodile is a bird.,1
It is the case either that the kangaroo is a crustacean or that the kangaroo is a mammal.,0
It is the case either that the cheetah is a insect or that the cheetah is a mammal.,0
It is the case either that the pigeon is a bird or that the pigeon is a fish.,1
It is the case either that the peacock is a bird or that the peacock is a fish.,1
It is the case either that the armadillo is a mammal or that the armadillo is a bird.,1
It is the case either that the bee is a insect or that the bee is a bird.,0
It is the case either that the lobster is a mammal or that the lobster is a bird.,0
It is the case either that the horse is a amphibian or that the horse is a mollusk.,0
It is the case either that the otter is a fish or that the otter is a reptile.,0
It is the case either that the deer is a mammal or that the deer is a fish.,1
It is the case either that the cow is a mammal or that the cow is a bird.,1
It is the case either that the porcupine is a amphibian or that the porcupine is a mammal.,1
It is the case either that the sparrow is a mammal or that the sparrow is a fish.,0
It is the case either that the platypus is a fish or that the platypus is a mammal.,1
It is the case either that the giant anteater is a fish or that the giant anteater is a mammal.,0
It is the case either that the tiger is a amphibian or that the tiger is a fish.,0
